Title,Obtained Status,Read Status
Black Book: Filament and Filigree DR,Unobtained,Not Read
Black Book: The Hidden Twilight DR,Unobtained,Not Read
Black Book: The Sallow Regent DR,Unobtained,Not Read
Black Book: The Winds of Change DR,Unobtained,Not Read
Black Book: Untold Legends DR,Unobtained,Not Read
Black Book: Waking Dreams DR,Unobtained,Not Read
Boethiah's Glory,Unobtained,Not Read
Boethiah's Proving,Unobtained,Not Read
"Bone, Part I DR",Unobtained,Not Read
"Bone, Part II DR",Unobtained,Not Read
Breathing Water,Unobtained,Not Read
"Brief History of the Empire, v1",Unobtained,Not Read
"Brief History of the Empire, v2",Unobtained,Not Read
"Brief History of the Empire, v3",Unobtained,Not Read
"Brief History of the Empire, v4",Unobtained,Not Read
Brothers of Darkness,Unobtained,Not Read
Catalogue of Armor Enchantments,Unobtained,Not Read
Catalogue of Weapon Enchantments,Unobtained,Not Read
Cats of Skyrim,Unobtained,Not Read
Chance's Folly,Unobtained,Not Read
Changed Ones DR,Unobtained,Not Read
"Charwich-Koniinge Letters, v1",Unobtained,Not Read
"Charwich-Koniinge Letters, v2",Unobtained,Not Read
"Charwich-Koniinge Letters, v3",Unobtained,Not Read
"Charwich-Koniinge Letters, v4",Unobtained,Not Read
Chaurus Pie: A Recipe,Unobtained,Not Read
Cherim's Heart,Unobtained,Not Read
Children of the All-Maker DR,Unobtained,Not Read
Children of the Sky,Unobtained,Not Read
Chimarvamidium,Unobtained,Not Read
Chronicles of Nchuleft,Unobtained,Not Read
Cleansing of the Fane,Unobtained,Not Read
Confessions of a Dunmer Skooma Eater DR,Unobtained,Not Read
Confessions of a Khajiit Fur Trader DG,Unobtained,Not Read
Consider Adoption HF,Unobtained,Not Read
Darkest Darkness,Unobtained,Not Read
Daughter of the Niben,Unobtained,Not Read
De Rerum Dirennis,Unobtained,Not Read
Death Blow of Abernanit,Unobtained,Not Read
Death of a Wanderer,Unobtained,Not Read
Deathbrand DR,Unobtained,Not Read
Diary of Faire Agarwen DG,Unobtained,Not Read
Dragon Language: Myth no More,Unobtained,Not Read
Dunmer of Skyrim,Unobtained,Not Read
"Dwarves, v1",Unobtained,Not Read
"Dwarves, v2",Unobtained,Not Read
"Dwarves, v3",Unobtained,Not Read
Dwemer History and Culture,Unobtained,Not Read
Dwemer Inquiries Vol I,Unobtained,Not Read
Dwemer Inquiries Vol II,Unobtained,Not Read
Dwemer Inquiries Vol III,Unobtained,Not Read
Effects of the Elder Scrolls,Unobtained,Not Read
Enchanter's Primer,Unobtained,Not Read
Fall From Glory,Unobtained,Not Read
Fall of the Snow Prince,Unobtained,Not Read
Father Of The Niben,Unobtained,Not Read
"Feyfolken, Book I",Unobtained,Not Read
"Feyfolken, Book II",Unobtained,Not Read
"Feyfolken, Book III",Unobtained,Not Read
Final Lesson,Unobtained,Not Read
Fire and Darkness,Unobtained,Not Read
Five Songs of King Wulfharth,Unobtained,Not Read
Flight from the Thalmor,Unobtained,Not Read
"Forge, Hammer and Anvil",Unobtained,Not Read
Fragment: On Artaeum,Unobtained,Not Read
"Frontier, Conquest",Unobtained,Not Read
Galerion the Mystic,Unobtained,Not Read
Ghosts in the Storm,Unobtained,Not Read
Glories and Laments,Unobtained,Not Read
Gods and Worship,Unobtained,Not Read
Great Harbingers,Unobtained,Not Read
Guide to Better Thieving,Unobtained,Not Read
Hallgerd's Tale,Unobtained,Not Read
Hanging Gardens,Unobtained,Not Read
Harvesting Frostbite Spider Venom,Unobtained,Not Read
Heavy Armor Forging,Unobtained,Not Read
Herbalist's Guide to Skyrim,Unobtained,Not Read
Herbane's Bestiary: Automatons,Unobtained,Not Read
Herbane's Bestiary: Hagravens,Unobtained,Not Read
Herbane's Bestiary: Ice Wraiths,Unobtained,Not Read
"History of Raven Rock, Vol. I DR",Unobtained,Not Read
"History of Raven Rock, Vol. II DR",Unobtained,Not Read
"History of Raven Rock, Vol. III DR",Unobtained,Not Read
Holdings of Jarl Gjalund,Unobtained,Not Read
Horker Attacks,Unobtained,Not Read
Horror of Castle Xyr,Unobtained,Not Read
Ice and Chitin,Unobtained,Not Read
Immortal Blood,Unobtained,Not Read
Imperial Report on Saarthal,Unobtained,Not Read
Incident at Necrom,Unobtained,Not Read
Invocation of Azura,Unobtained,Not Read
Jornibret's Last Dance,Unobtained,Not Read
Journal of Mirtil Angoth DG,Unobtained,Not Read
Killing - Before You're Killed,Unobtained,Not Read
King,Unobtained,Not Read
King Olaf's Verse,Unobtained,Not Read
Kolb and the Dragon,Unobtained,Not Read
Lakeview Manor Charter HF,Unobtained,Not Read
Last Scabbard of Akrash,Unobtained,Not Read
Legend of Krately House,Unobtained,Not Read
Letter from the Jarl of Falkreath HF,Unobtained,Not Read
Letter from the Steward of Falkreath HF,Unobtained,Not Read
Life of Uriel Septim VII,Unobtained,Not Read
Light Armor Forging,Unobtained,Not Read
Liminal Bridges,Unobtained,Not Read
Lives of the Saints DR,Unobtained,Not Read
Lost Legends,Unobtained,Not Read
Lycanthropic Legends of Skyrim,Unobtained,Not Read
Mace Etiquette,Unobtained,Not Read
Magic from the Sky,Unobtained,Not Read
Malyn Varen's Grimoire,Unobtained,Not Read
"Mannimarco, King of Worms",Unobtained,Not Read
Markarth Home Decorating Guide,Unobtained,Not Read
Mixed Unit Tactics,Unobtained,Not Read
Mysterious Akavir,Unobtained,Not Read
"Mystery of Talara, v 1",Unobtained,Not Read
"Mystery of Talara, v 2",Unobtained,Not Read
"Mystery of Talara, v 3",Unobtained,Not Read
"Mystery of Talara, v 4",Unobtained,Not Read
"Mystery of Talara, v 5",Unobtained,Not Read
Mythic Dawn Commentaries 1,Unobtained,Not Read
Mythic Dawn Commentaries 2,Unobtained,Not Read
Mythic Dawn Commentaries 3,Unobtained,Not Read
Mythic Dawn Commentaries 4,Unobtained,Not Read
Myths of Sheogorath,Unobtained,Not Read
N'Gasta! Kvata! Kvakis!,Unobtained,Not Read
Nchunak's Fire and Faith DR,Unobtained,Not Read
Nerevar at Red Mountain DR,Unobtained,Not Read
Nerevar Moon and Star,Unobtained,Not Read
Night of Tears,Unobtained,Not Read
Night Falls on Sentinel,Unobtained,Not Read
Nightingales: Fact or Fiction?,Unobtained,Not Read
Nords Arise!,Unobtained,Not Read
Nords of Skyrim,Unobtained,Not Read
"Notes on Dimhollow Crypt, Vol. 3 DG",Unobtained,Not Read
Notes on the Lunar Forge,Unobtained,Not Read
Notes on Yngol Barrow,Unobtained,Not Read
Ode To The Tundrastriders,Unobtained,Not Read
Of Crossed Daggers,Unobtained,Not Read
Of Fjori and Holgeir,Unobtained,Not Read
Oghma Infinium,Unobtained,Not Read
Olaf and the Dragon,Unobtained,Not Read
On Apocrypha: Boneless Limbs DR,Unobtained,Not Read
On Apocrypha: Delving Pincers DR,Unobtained,Not Read
On Apocrypha: Gnashing Blades DR,Unobtained,Not Read
On Apocrypha: Prying Orbs DR,Unobtained,Not Read
On Oblivion,Unobtained,Not Read
On Stepping Lightly,Unobtained,Not Read
On the Great Collapse,Unobtained,Not Read
Opusculus Lamae Bal,Unobtained,Not Read
Orsinium and the Orcs,Unobtained,Not Read
"Palla, Book I",Unobtained,Not Read
"Palla, Book II",Unobtained,Not Read
Pension of the Ancestor Moth,Unobtained,Not Read
Physicalities of Werewolves,Unobtained,Not Read
Pirate King of the Abecean,Unobtained,Not Read
Power of the Elements,Unobtained,Not Read
Proper Lock Design,Unobtained,Not Read
Purloined Shadows,Unobtained,Not Read
Racial Phylogeny,Unobtained,Not Read
Reality & Other Falsehoods,Unobtained,Not Read
Remanada,Unobtained,Not Read
Report: Disaster at Ionith,Unobtained,Not Read
Response to Bero's Speech,Unobtained,Not Read
Riften Home Decorating Guide,Unobtained,Not Read
"Rising Threat, Vol. I",Unobtained,Not Read
"Rising Threat, Vol. II",Unobtained,Not Read
"Rising Threat, Vol. III",Unobtained,Not Read
"Rising Threat, Vol. IV",Unobtained,Not Read
Rislav The Righteous,Unobtained,Not Read
Ruins of Kemel-Ze,Unobtained,Not Read
Rumination on the Elder Scrolls,Unobtained,Not Read
Sacred Witness,Unobtained,Not Read
Saint Jiub's Opus DG,Unobtained,Not Read
Scourge of the Gray Quarter,Unobtained,Not Read
Shadowmarks,Unobtained,Not Read
Shezarr and the Divines,Unobtained,Not Read
Short History of Morrowind,Unobtained,Not Read
Sithis,Unobtained,Not Read
Skyrim's Rule,Unobtained,Not Read
Solitude Home Decorating Guide,Unobtained,Not Read
Song of Hrormir,Unobtained,Not Read
Song of the Alchemists,Unobtained,Not Read
Song of the Askelde Men,Unobtained,Not Read
Songs of Skyrim,Unobtained,Not Read
Songs of Skyrim: Revised,Unobtained,Not Read
"Songs of the Return, Vol 2",Unobtained,Not Read
"Songs of the Return, Vol 7",Unobtained,Not Read
"Songs of the Return, Vol 19",Unobtained,Not Read
"Songs of the Return, Vol 24",Unobtained,Not Read
"Songs of the Return, Vol 56",Unobtained,Not Read
"Souls, Black and White",Unobtained,Not Read
"Sovngarde, a Reexamination",Unobtained,Not Read
Spirit of Nirn,Unobtained,Not Read
Spirit of the Daedra,Unobtained,Not Read
Surfeit of Thieves,Unobtained,Not Read
The Adabal-a,Unobtained,Not Read
The Aetherium Wars DG,Unobtained,Not Read
The Alduin-Akatosh Dichotomy,Unobtained,Not Read
The Amulet of Kings,Unobtained,Not Read
The Anticipations DR,Unobtained,Not Read
The Apprentice's Assistant,Unobtained,Not Read
The Arcturian Heresy,Unobtained,Not Read
"The Argonian Account, Book I",Unobtained,Not Read
"The Argonian Account, Book II",Unobtained,Not Read
"The Argonian Account, Book III",Unobtained,Not Read
"The Argonian Account, Book IV",Unobtained,Not Read
The Armorer's Challenge,Unobtained,Not Read
The Art of War Magic,Unobtained,Not Read
The Axe Man DR,Unobtained,Not Read
The Battle of Red Mountain,Unobtained,Not Read
The Bear of Markarth,Unobtained,Not Read
The Beginner's Guide to Homesteading HF,Unobtained,Not Read
The Betrayed DG,Unobtained,Not Read
"The Black Arrow, v1",Unobtained,Not Read
"The Black Arrow, v2",Unobtained,Not Read
The Black Arts On Trial,Unobtained,Not Read
The Book of Daedra,Unobtained,Not Read
The Book of Fate,Unobtained,Not Read
The Book of Life and Service DG,Unobtained,Not Read
The Book of the Dragonborn,Obtained,Read
The Buying Game,Unobtained,Not Read
The Cabin in the Woods,Unobtained,Not Read
The Cake and the Diamond,Unobtained,Not Read
The City of Stone,Unobtained,Not Read
The Code of Malacath,Unobtained,Not Read
The Doors of Oblivion,Unobtained,Not Read
The Doors of the Spirit DR,Unobtained,Not Read
The Dowry,Unobtained,Not Read
The Dragon Break,Unobtained,Not Read
The Dragon War,Unobtained,Not Read
The Dreamstride,Unobtained,Not Read
The Exodus,Unobtained,Not Read
The Falmer: A Study,Unobtained,Not Read
The Firmament,Unobtained,Not Read
The Firsthold Revolt,Unobtained,Not Read
The Five Far Stars DR,Unobtained,Not Read
The Four Totems of Volskygge,Unobtained,Not Read
The Gold Ribbon of Merit,Unobtained,Not Read
The Great War,Unobtained,Not Read
The Guardian and the Traitor DR,Unobtained,Not Read
The Holds of Skyrim,Unobtained,Not Read
The Hope of the Redoran,Unobtained,Not Read
The House of Troubles DR,Unobtained,Not Read
The Importance of Where,Unobtained,Not Read
The Knights of the Nine,Unobtained,Not Read
The Last King of the Ayleids,Unobtained,Not Read
The Legend of Red Eagle,Unobtained,Not Read
The Legendary Sancre Tor,Unobtained,Not Read
The Legendary Scourge,Unobtained,Not Read
The Locked Room,Unobtained,Not Read
The Lunar Lorkhan,Unobtained,Not Read
The Lusty Argonian Maid Vol 1,Unobtained,Not Read
The Lusty Argonian Maid Vol 2,Unobtained,Not Read
"The Madmen"" of the Reach""",Unobtained,Not Read
The Madness of Pelagius,Unobtained,Not Read
The Marksmanship Lesson,Unobtained,Not Read
The Mirror,Unobtained,Not Read
The Monomyth,Unobtained,Not Read
The Night Mother's Truth,Unobtained,Not Read
The Nightingales Vol. 1,Unobtained,Not Read
The Nightingales Vol. 2,Unobtained,Not Read
The Nirnoot Missive,Unobtained,Not Read
The Oblivion Crisis,Unobtained,Not Read
The Old Ways,Unobtained,Not Read
The Pig Children,Unobtained,Not Read
"The Poison Song, Book I DR",Unobtained,Not Read
"The Poison Song, Book II DR",Unobtained,Not Read
"The Poison Song, Book III DR",Unobtained,Not Read
"The Poison Song, Book IV DR",Unobtained,Not Read
"The Poison Song, Book V DR",Unobtained,Not Read
"The Poison Song, Book VI DR",Unobtained,Not Read
"The Poison Song, Book VII DR",Unobtained,Not Read
The Posting of the Hunt,Unobtained,Not Read
The Ransom of Zarek,Unobtained,Not Read
"The Real Barenziah, Book I",Unobtained,Not Read
"The Real Barenziah, Book II",Unobtained,Not Read
"The Real Barenziah, Book III",Unobtained,Not Read
"The Real Barenziah, Book IV",Unobtained,Not Read
"The Real Barenziah, Book V",Unobtained,Not Read
The Rear Guard,Unobtained,Not Read
The Reclamations DR,Unobtained,Not Read
The Red Book of Riddles,Unobtained,Not Read
The Red Kitchen Reader,Unobtained,Not Read
"The Red Year, Vol I DR",Unobtained,Not Read
"The Red Year, Vol II DR",Unobtained,Not Read
The Refugees,Unobtained,Not Read
The Rise and Fall of the Blades,Unobtained,Not Read
The Secrets of Ragnvald,Unobtained,Not Read
The Seed,Unobtained,Not Read
"The Song of Pelinal, Book I",Unobtained,Not Read
"The Song of Pelinal, Book II",Unobtained,Not Read
"The Song of Pelinal, Book III",Unobtained,Not Read
"The Song of Pelinal, Book IV",Unobtained,Not Read
"The Song of Pelinal, Book V",Unobtained,Not Read
"The Song of Pelinal, Book VI",Unobtained,Not Read
"The Song of Pelinal, Book VII",Unobtained,Not Read
"The Song of Pelinal, Book VIII",Unobtained,Not Read
"The Sultry Argonian Bard, v1 DG",Unobtained,Not Read
The Tale of Dro'Zira,Unobtained,Not Read
The Talos Mistake,Unobtained,Not Read
The Third Door,Unobtained,Not Read
The Third Era Timeline,Unobtained,Not Read
The Totems of Hircine,Unobtained,Not Read
The True Nature of Orcs,Unobtained,Not Read
The True Noble's Code DR,Unobtained,Not Read
The Warrior's Charge,Unobtained,Not Read
The Waters of Oblivion,Unobtained,Not Read
The Wild Elves,Unobtained,Not Read
The Windhelm Letters,Unobtained,Not Read
The Wispmother,Unobtained,Not Read
"The Wolf Queen, Book I",Unobtained,Not Read
"The Wolf Queen, Book II",Unobtained,Not Read
"The Wolf Queen, Book III",Unobtained,Not Read
"The Wolf Queen, Book IV",Unobtained,Not Read
"The Wolf Queen, Book V",Unobtained,Not Read
"The Wolf Queen, Book VI",Unobtained,Not Read
"The Wolf Queen, Book VII",Unobtained,Not Read
"The Wolf Queen, Book VIII",Unobtained,Not Read
The Woodcutter's Wife,Unobtained,Not Read
There Be Dragons,Unobtained,Not Read
Thief,Unobtained,Not Read
Thief of Virtue,Unobtained,Not Read
"Thirsk, a Revised History DR",Unobtained,Not Read
Treatise on Ayleidic Cities,Unobtained,Not Read
Three Thieves,Unobtained,Not Read
Trap DR,Unobtained,Not Read
Trials of St. Alessia,Unobtained,Not Read
Troll Slaying,Unobtained,Not Read
Touching the Sky DG,Unobtained,Not Read
Twin Secrets,Unobtained,Not Read
Ulfr's Book,Unobtained,Not Read
Uncommon Taste,Unobtained,Not Read
Uncommon Taste - Signed,Unobtained,Not Read
"Unknown Book, Vol. I DG",Unobtained,Not Read
"Unknown Book, Vol. II DG",Unobtained,Not Read
"Unknown Book, Vol. III DG",Unobtained,Not Read
"Unknown Book, Vol. IV DG",Unobtained,Not Read
Varieties of Daedra,Unobtained,Not Read
Varieties of Faith in the Empire DR,Unobtained,Not Read
Vernaccus and Bourlor,Unobtained,Not Read
Wabbajack,Unobtained,Not Read
"Walking the World, Vol XI",Unobtained,Not Read
War of the First Council,Unobtained,Not Read
Warrior,Unobtained,Not Read
Watcher of Stones,Unobtained,Not Read
Where were you when the Dragon Broke? DR,Unobtained,Not Read
Whiterun Home Decorating Guide,Unobtained,Not Read
Withershins,Unobtained,Not Read
Wind and Sand DR,Unobtained,Not Read
Windhelm Home Decorating Guide,Unobtained,Not Read
Words and Philosophy,Unobtained,Not Read
Words of Clan Mother Ahnissi,Unobtained,Not Read
Words of the Wind DR,Unobtained,Not Read
Wraith's Wedding Dowry,Unobtained,Not Read
Yellow Book of Riddles,Unobtained,Not Read
Yngol And The Sea-Ghosts,Unobtained,Not Read
